id_house,sales_date,id_sales,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,2014-10-13,1,221900.0,3.0,1.0,1180.0,5650.0,1.0,,0.0,3,7,1180.0,0.0,1955,0.0,98178,47.5112,-122.257,1340.0,5650.0
6414100192,2014-12-09,2,538000.0,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3,7,2170.0,400.0,1951,19910.0,98125,47.721,-122.319,1690.0,7639.0
5631500400,2015-02-25,3,180000.0,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3,6,770.0,0.0,1933,,98028,47.7379,-122.233,2720.0,8062.0
2487200875,2014-12-09,4,604000.0,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5,7,1050.0,910.0,1965,0.0,98136,47.5208,-122.393,1360.0,5000.0
1954400510,2015-02-18,5,510000.0,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3,8,1680.0,0.0,1987,0.0,98074,47.6168,-122.045,1800.0,7503.0
7237550310,2014-05-12,6,1230000.0,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3,11,3890.0,1530.0,2001,0.0,98053,47.6561,-122.005,4760.0,101930.0
1321400060,2014-06-27,7,257500.0,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3,7,1715.0,,1995,0.0,98003,47.3097,-122.327,2238.0,6819.0
2008000270,2015-01-15,8,291850.0,3.0,1.5,1060.0,9711.0,1.0,0.0,,3,7,1060.0,0.0,1963,0.0,98198,47.4095,-122.315,1650.0,9711.0
2414600126,2015-04-15,9,229500.0,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3,7,1050.0,730.0,1960,0.0,98146,47.5123,-122.337,1780.0,8113.0
3793500160,2015-03-12,10,323000.0,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3,7,1890.0,0.0,2003,0.0,98038,47.3684,-122.031,2390.0,7570.0
1736800520,2015-04-03,11,662500.0,3.0,2.5,3560.0,9796.0,1.0,,0.0,3,8,1860.0,1700.0,1965,0.0,98007,47.6007,-122.145,2210.0,8925.0
9212900260,2014-05-27,12,468000.0,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4,7,860.0,300.0,1942,0.0,98115,47.69,-122.292,1330.0,6000.0
114101516,2014-05-28,13,310000.0,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4,7,1430.0,0.0,1927,,98028,47.7558,-122.229,1780.0,12697.0
6054650070,2014-10-07,14,400000.0,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4,7,1370.0,0.0,1977,0.0,98074,47.6127,-122.045,1370.0,10208.0
1175000570,2015-03-12,15,530000.0,5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,3,7,1810.0,0.0,1900,0.0,98107,47.67,-122.394,1360.0,4850.0
9297300055,2015-01-24,16,650000.0,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3,9,1980.0,970.0,1979,0.0,98126,47.5714,-122.375,2140.0,4000.0
1875500060,2014-07-31,17,395000.0,3.0,2.0,1890.0,14040.0,2.0,0.0,0.0,3,7,1890.0,0.0,1994,0.0,98019,47.7277,-121.962,1890.0,14018.0
6865200140,2014-05-29,18,485000.0,4.0,1.0,1600.0,4300.0,1.5,0.0,0.0,4,7,1600.0,0.0,1916,0.0,98103,47.6648,-122.343,1610.0,4300.0
16000397,2014-12-05,19,189000.0,2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,4,7,1200.0,,1921,0.0,98002,47.3089,-122.21,1060.0,5095.0
7983200060,2015-04-24,20,230000.0,3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,4,7,1250.0,0.0,1969,0.0,98003,47.3343,-122.306,1280.0,8850.0
6300500875,2014-05-14,21,385000.0,4.0,1.75,1620.0,4980.0,1.0,0.0,0.0,4,7,860.0,760.0,1947,0.0,98133,47.7025,-122.341,1400.0,4980.0
2524049179,2014-08-26,22,2000000.0,3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3,9,2330.0,720.0,1968,0.0,98040,47.5316,-122.233,4110.0,20336.0
7137970340,2014-07-03,23,285000.0,5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3,8,2270.0,0.0,1995,0.0,98092,47.3266,-122.169,2240.0,7005.0
8091400200,2014-05-16,24,252700.0,2.0,1.5,1070.0,9643.0,1.0,,0.0,3,7,1070.0,0.0,1985,,98030,47.3533,-122.166,1220.0,8386.0
3814700200,2014-11-20,25,329000.0,3.0,2.25,2450.0,6500.0,2.0,0.0,0.0,4,8,2450.0,0.0,1985,0.0,98030,47.3739,-122.17298,2200.0,6865.0
1202000200,2014-11-03,26,233000.0,3.0,2.0,1710.0,4697.0,1.5,0.0,0.0,5,6,1710.0,0.0,1941,0.0,98002,47.3048,-122.218,1030.0,4705.0
1794500383,2014-06-26,27,937000.0,3.0,1.75,2450.0,2691.0,2.0,0.0,0.0,3,8,1750.0,700.0,1915,,98119,47.6386,-122.36,1760.0,3573.0
3303700376,2014-12-01,28,667000.0,3.0,1.0,1400.0,1581.0,1.5,0.0,0.0,5,8,1400.0,0.0,1909,0.0,98112,47.6221,-122.314,1860.0,3861.0
5101402488,2014-06-24,29,438000.0,3.0,1.75,1520.0,6380.0,1.0,0.0,0.0,3,7,790.0,730.0,1948,,98115,47.695,-122.304,1520.0,6235.0
